date,year,month,month_name,district,rainfall_mm,temperature_celsius,pH,turbidity_NTU,coliform_count_per100ml,dissolved_oxygen_mg_L,total_dissolved_solids_mg_L,population,cholera_cases,diarrhea_cases,typhoid_cases,hepatitis_a_cases,total_disease_cases,outbreak_alert,season,cases_last_month,cases_2_months_ago,rainfall_last_month,district_encoded,season_encoded
2018-01-01,2018,1,January,Chennai,25.6,37.31,7.88,9.9,43.69,4.78,258.08,4544887,20,69,8,7,104,0,Winter,0.0,0.0,0.0,0,3
2018-02-01,2018,2,February,Chennai,8.1,34.11,8.36,0.81,277.82,7.09,811.65,1807371,26,88,18,7,139,1,Winter,104.0,0.0,25.6,0,3
2018-03-01,2018,3,March,Chennai,58.56,27.26,6.41,10.2,107.09,8.92,666.76,2928388,18,48,12,4,82,0,Summer,139.0,104.0,8.1,0,2
2018-04-01,2018,4,April,Chennai,57.19,37.52,8.06,5.43,27.35,7.42,640.15,4556518,20,60,8,7,95,0,Summer,82.0,139.0,58.56,0,2
2018-05-01,2018,5,May,Chennai,26.51,26.55,7.94,7.26,58.22,6.84,231.31,2595505,12,32,8,7,59,0,Summer,95.0,82.0,57.19,0,2
2018-06-01,2018,6,June,Chennai,132.73,28.57,7.51,13.08,403.69,8.22,947.32,3204238,40,126,20,10,196,1,SW_Monsoon,59.0,95.0,26.51,0,1
2018-07-01,2018,7,July,Chennai,140.22,25.04,8.47,18.81,83.46,4.03,1015.46,2237095,18,66,11,4,99,0,SW_Monsoon,196.0,59.0,132.73,0,1
2018-08-01,2018,8,August,Chennai,95.85,25.62,8.19,15.41,138.98,4.32,510.98,4642807,29,78,13,5,125,0,SW_Monsoon,99.0,196.0,140.22,0,1
2018-09-01,2018,9,September,Chennai,116.12,29.36,8.43,20.56,303.13,5.18,456.07,622409,27,71,12,9,119,0,SW_Monsoon,125.0,99.0,95.85,0,1
2018-10-01,2018,10,October,Chennai,240.82,33.74,6.52,19.97,302.31,5.02,1142.85,3459034,43,111,22,10,186,1,NE_Monsoon,119.0,125.0,116.12,0,0
2018-11-01,2018,11,November,Chennai,173.91,25.48,7.25,8.24,233.25,8.42,524.35,4770070,29,100,9,4,142,1,NE_Monsoon,186.0,119.0,240.82,0,0
2018-12-01,2018,12,December,Chennai,156.98,29.98,8.08,27.77,3.89,6.55,617.41,4922880,25,83,13,3,124,0,NE_Monsoon,142.0,186.0,173.91,0,0
2019-01-01,2019,1,January,Chennai,27.21,24.91,6.78,4.55,194.97,7.56,348.09,1313168,28,89,13,7,137,1,Winter,124.0,142.0,156.98,0,3
2019-02-01,2019,2,February,Chennai,23.98,32.88,7.77,8.87,125.38,6.76,792.7,3829462,26,78,12,7,123,0,Winter,137.0,124.0,27.21,0,3
2019-03-01,2019,3,March,Chennai,39.78,32.87,7.43,2.17,233.88,5.6,386.52,4524066,28,71,10,5,114,0,Summer,123.0,137.0,23.98,0,2
2019-04-01,2019,4,April,Chennai,33.17,27.17,7.68,3.45,193.46,5.93,1136.73,3945376,24,81,8,8,121,0,Summer,114.0,123.0,39.78,0,2
2019-05-01,2019,5,May,Chennai,43.27,27.2,6.6,15.73,144.66,5.3,1196.25,2972189,22,77,13,3,115,0,Summer,121.0,114.0,33.17,0,2
2019-06-01,2019,6,June,Chennai,87.89,33.81,8.15,20.72,169.89,8.44,1050.93,878480,24,64,13,9,110,0,SW_Monsoon,115.0,121.0,43.27,0,1
2019-07-01,2019,7,July,Chennai,60.92,25.42,7.73,1.32,67.54,6.74,891.9,1860828,9,18,5,7,39,0,SW_Monsoon,110.0,115.0,87.89,0,1
2019-08-01,2019,8,August,Chennai,92.54,34.45,7.69,20.56,276.2,6.84,293.67,2769042,32,92,17,11,152,1,SW_Monsoon,39.0,110.0,60.92,0,1
2019-09-01,2019,9,September,Chennai,99.31,36.49,7.65,19.32,211.11,6.88,692.52,4272962,26,73,15,10,124,0,SW_Monsoon,152.0,39.0,92.54,0,1
2019-10-01,2019,10,October,Chennai,192.54,24.22,8.34,14.62,541.33,8.82,1053.01,4835868,39,99,17,9,164,1,NE_Monsoon,124.0,152.0,99.31,0,0
2019-11-01,2019,11,November,Chennai,239.2,37.11,7.8,18.93,54.42,7.08,1190.05,1605534,21,73,9,4,107,0,NE_Monsoon,164.0,124.0,192.54,0,0
2019-12-01,2019,12,December,Chennai,134.16,33.92,7.47,10.61,235.08,5.28,811.51,4542787,25,67,12,8,112,0,NE_Monsoon,107.0,164.0,239.2,0,0
2020-01-01,2020,1,January,Chennai,36.84,30.14,7.75,5.79,43.41,8.91,1038.93,4922201,12,32,10,7,61,0,Winter,112.0,107.0,134.16,0,3
2020-02-01,2020,2,February,Chennai,34.54,28.57,8.1,4.93,270.27,6.29,1042.02,4883711,21,70,15,7,113,0,Winter,61.0,112.0,36.84,0,3
2020-03-01,2020,3,March,Chennai,12.3,37.57,7.84,1.42,111.67,6.17,944.04,4195961,16,63,12,3,94,0,Summer,113.0,61.0,34.54,0,2
2020-04-01,2020,4,April,Chennai,42.87,24.81,8.3,7.52,67.14,4.47,382.87,4881932,16,38,10,6,70,0,Summer,94.0,113.0,12.3,0,2
2020-05-01,2020,5,May,Chennai,28.08,27.47,7.02,12.32,4.03,4.58,246.0,4221309,13,30,13,2,58,0,Summer,70.0,94.0,42.87,0,2
2020-06-01,2020,6,June,Chennai,109.16,30.63,6.6,11.09,167.37,7.08,835.09,2141249,26,87,10,5,128,1,SW_Monsoon,58.0,70.0,28.08,0,1
2020-07-01,2020,7,July,Chennai,110.1,31.55,7.77,15.24,396.43,8.72,1067.2,3837690,43,127,15,9,194,1,SW_Monsoon,128.0,58.0,109.16,0,1
2020-08-01,2020,8,August,Chennai,72.85,35.36,8.09,15.47,344.58,7.26,406.68,2748988,23,82,14,7,126,1,SW_Monsoon,194.0,128.0,110.1,0,1
2020-09-01,2020,9,September,Chennai,128.3,25.0,6.93,20.46,9.77,8.07,481.85,4697571,16,46,13,6,81,0,SW_Monsoon,126.0,194.0,72.85,0,1
2020-10-01,2020,10,October,Chennai,204.49,37.55,7.46,14.47,318.37,6.88,931.65,3663683,33,105,19,11,168,1,NE_Monsoon,81.0,126.0,128.3,0,0
2020-11-01,2020,11,November,Chennai,240.47,27.34,7.76,24.09,133.41,5.89,734.33,2507635,29,83,12,5,129,1,NE_Monsoon,168.0,81.0,204.49,0,0
2020-12-01,2020,12,December,Chennai,113.37,37.42,8.15,12.39,535.81,7.38,682.52,4099865,41,108,18,11,178,1,NE_Monsoon,129.0,168.0,240.47,0,0
2021-01-01,2021,1,January,Chennai,23.08,33.42,7.93,12.83,221.09,4.46,694.42,4443334,33,86,11,8,138,1,Winter,178.0,129.0,113.37,0,3
2021-02-01,2021,2,February,Chennai,24.3,25.64,6.53,12.37,173.1,4.51,284.11,2636233,26,87,8,7,128,1,Winter,138.0,178.0,23.08,0,3
2021-03-01,2021,3,March,Chennai,33.23,27.27,7.54,13.92,246.5,5.18,1107.69,894540,26,89,11,8,134,1,Summer,128.0,138.0,24.3,0,2
2021-04-01,2021,4,April,Chennai,25.79,33.87,6.77,5.82,121.65,5.27,605.2,3676083,21,54,7,5,87,0,Summer,134.0,128.0,33.23,0,2
2021-05-01,2021,5,May,Chennai,37.09,37.47,7.06,5.14,243.21,5.12,1163.22,2371403,28,83,14,8,133,1,Summer,87.0,134.0,25.79,0,2
2021-06-01,2021,6,June,Chennai,159.3,25.03,7.47,23.3,219.7,7.15,895.75,3098260,27,80,17,5,129,1,SW_Monsoon,133.0,87.0,37.09,0,1
2021-07-01,2021,7,July,Chennai,151.53,37.42,6.33,10.2,44.84,5.68,369.68,2063299,25,87,8,6,126,1,SW_Monsoon,129.0,133.0,159.3,0,1
2021-08-01,2021,8,August,Chennai,67.77,37.64,8.47,17.12,225.16,5.55,1013.8,2679996,22,79,16,6,123,0,SW_Monsoon,126.0,129.0,151.53,0,1
2021-09-01,2021,9,September,Chennai,101.66,32.14,8.31,3.09,368.2,6.76,364.83,1610389,27,75,15,6,123,0,SW_Monsoon,123.0,126.0,67.77,0,1
2021-10-01,2021,10,October,Chennai,195.22,37.58,8.14,27.09,262.47,6.07,473.41,1823483,38,101,15,11,165,1,NE_Monsoon,123.0,123.0,101.66,0,0
2021-11-01,2021,11,November,Chennai,246.29,34.17,7.94,13.09,135.01,5.03,451.44,3531756,19,59,16,5,99,0,NE_Monsoon,165.0,123.0,195.22,0,0
2021-12-01,2021,12,December,Chennai,189.54,25.59,7.74,17.42,432.5,6.6,1052.18,2179748,36,114,14,11,175,1,NE_Monsoon,99.0,165.0,246.29,0,0
2022-01-01,2022,1,January,Chennai,39.12,33.86,6.69,2.87,4.07,5.75,789.92,1050222,10,37,12,6,65,0,Winter,175.0,99.0,189.54,0,3
2022-02-01,2022,2,February,Chennai,29.8,36.75,6.89,8.76,195.34,7.98,659.35,1765040,30,93,16,8,147,1,Winter,65.0,175.0,39.12,0,3
2022-03-01,2022,3,March,Chennai,58.9,30.9,6.96,10.43,67.24,4.38,328.88,3857519,17,52,13,5,87,0,Summer,147.0,65.0,29.8,0,2
2022-04-01,2022,4,April,Chennai,15.0,28.84,8.26,8.0,186.92,4.86,392.29,4650276,24,85,12,7,128,1,Summer,87.0,147.0,58.9,0,2
