date,year,month,month_name,district,rainfall_mm,temperature_celsius,pH,turbidity_NTU,coliform_count_per100ml,dissolved_oxygen_mg_L,total_dissolved_solids_mg_L,population,cholera_cases,diarrhea_cases,typhoid_cases,hepatitis_a_cases,total_disease_cases,outbreak_alert
2018-01-01,2018,1,January,Chennai,36.22,37.31,7.88,15.37,78.01,4.78,258.08,4544887,42,170,26,15,253,1
2018-02-01,2018,2,February,Chennai,13.95,34.11,8.36,1.02,496.11,7.09,811.65,1807371,62,243,44,20,369,1
2018-03-01,2018,3,March,Chennai,78.16,27.26,6.41,15.84,191.23,8.92,666.76,2928388,48,176,32,13,269,1
2018-04-01,2018,4,April,Chennai,76.42,37.52,8.06,8.31,48.84,7.42,640.15,4556518,40,154,23,14,231,1
2018-05-01,2018,5,May,Chennai,37.37,26.55,7.94,11.2,103.97,6.84,231.31,2595505,34,128,24,14,200,1
2018-06-01,2018,6,June,Chennai,167.27,28.57,7.51,17.55,624.76,8.22,947.32,3204238,100,374,54,28,556,1
2018-07-01,2018,7,July,Chennai,176.26,25.04,8.47,25.39,129.17,4.03,1015.46,2237095,48,194,32,14,288,1
2018-08-01,2018,8,August,Chennai,123.02,25.62,8.19,20.75,215.08,4.32,510.98,4642807,61,220,34,15,330,1
2018-09-01,2018,9,September,Chennai,147.35,29.36,8.43,27.79,469.12,5.18,456.07,622409,75,268,42,24,409,1
2018-10-01,2018,10,October,Chennai,290.82,33.74,6.52,27.91,485.86,5.02,1142.85,3459034,100,351,56,28,535,1
2018-11-01,2018,11,November,Chennai,223.91,25.48,7.25,11.24,374.86,8.42,524.35,4770070,73,284,35,17,409,1
2018-12-01,2018,12,December,Chennai,206.98,29.98,8.08,38.98,6.26,6.55,617.41,4922880,52,205,38,18,313,1
2019-01-01,2019,1,January,Chennai,25.31,31.81,7.13,2.56,126.96,5.23,896.3,916880,36,142,31,8,217,1
2019-02-01,2019,2,February,Chennai,78.36,29.75,6.28,9.28,317.18,7.4,730.93,2722809,64,227,37,16,344,1
2019-03-01,2019,3,March,Chennai,35.88,27.39,8.05,12.29,491.71,5.99,1016.43,1904104,65,242,39,21,367,1
2019-04-01,2019,4,April,Chennai,32.82,27.08,7.84,20.43,174.33,4.48,1140.52,571295,49,171,36,15,271,1
2019-05-01,2019,5,May,Chennai,61.47,26.93,7.45,17.7,114.28,4.87,1182.17,4841747,38,133,27,14,212,1
2019-06-01,2019,6,June,Chennai,185.92,26.64,6.84,23.15,550.33,8.28,604.51,1168234,93,330,52,26,501,1
2019-07-01,2019,7,July,Chennai,149.68,29.21,8.36,31.68,184.55,5.53,685.61,1860828,49,174,32,20,275,1
2019-08-01,2019,8,August,Chennai,119.05,34.45,7.69,27.8,427.45,6.84,293.67,2769042,81,296,47,26,450,1
2019-09-01,2019,9,September,Chennai,127.17,36.49,7.65,26.1,326.71,6.88,692.52,4272962,70,256,42,24,392,1
2019-10-01,2019,10,October,Chennai,242.54,24.22,8.34,20.3,869.99,8.82,1053.01,4835868,106,371,59,31,567,1
2019-11-01,2019,11,November,Chennai,289.2,37.11,7.8,26.43,87.46,7.08,1190.05,1605534,54,214,32,15,315,1
2019-12-01,2019,12,December,Chennai,184.16,33.92,7.47,14.61,377.8,5.28,811.51,4542787,70,252,39,24,385,1
2020-01-01,2020,1,January,Chennai,11.93,32.1,7.21,17.13,164.08,4.78,1181.84,4979125,47,180,29,12,268,1
2020-02-01,2020,2,February,Chennai,67.58,29.04,6.49,13.53,385.0,5.08,822.89,1471525,53,214,36,22,325,1
2020-03-01,2020,3,March,Chennai,19.68,25.86,8.43,18.15,20.53,5.99,633.52,1923286,35,142,25,13,215,1
2020-04-01,2020,4,April,Chennai,58.72,29.73,6.6,4.75,125.12,6.75,914.6,676615,35,137,27,15,214,1
2020-05-01,2020,5,May,Chennai,40.5,34.22,6.31,14.58,79.32,4.6,541.88,509435,31,137,26,14,208,1
2020-06-01,2020,6,June,Chennai,136.9,25.37,7.33,16.07,112.58,6.17,598.5,3144489,45,158,27,16,246,1
2020-07-01,2020,7,July,Chennai,81.84,37.07,7.35,18.13,444.58,7.08,1143.89,4332065,69,260,47,23,399,1
2020-08-01,2020,8,August,Chennai,126.58,33.01,7.25,18.32,611.95,5.93,1161.19,2555723,87,317,47,28,479,1
2020-09-01,2020,9,September,Chennai,91.33,33.56,6.36,11.25,549.17,4.12,1014.47,3097480,81,303,42,25,451,1
2020-10-01,2020,10,October,Chennai,384.16,24.55,7.16,43.6,493.17,6.12,768.52,1662928,102,374,51,33,560,1
2020-11-01,2020,11,November,Chennai,295.14,36.14,7.49,12.11,611.86,7.7,438.24,3831869,112,411,57,30,610,1
2020-12-01,2020,12,December,Chennai,224.41,25.4,6.32,43.21,762.43,5.77,1156.8,4746238,125,462,63,35,685,1
2021-01-01,2021,1,January,Chennai,30.52,28.6,7.75,19.06,395.79,7.95,291.21,1701193,81,308,39,19,447,1
2021-02-01,2021,2,February,Chennai,72.14,28.91,6.47,4.43,380.76,7.09,301.12,1025830,58,212,40,16,326,1
2021-03-01,2021,3,March,Chennai,72.43,26.05,7.38,6.6,290.65,8.32,1080.36,2033584,58,215,31,16,320,1
2021-04-01,2021,4,April,Chennai,36.34,25.17,7.99,14.4,212.11,8.53,311.2,2379490,39,163,35,14,251,1
2021-05-01,2021,5,May,Chennai,18.32,25.65,7.69,18.91,291.68,8.81,574.87,2887312,43,155,34,19,251,1
2021-06-01,2021,6,June,Chennai,176.25,37.69,7.48,11.37,28.21,8.62,1119.12,4954051,40,164,24,16,244,1
2021-07-01,2021,7,July,Chennai,155.53,33.74,7.25,20.88,379.8,8.51,245.45,2985195,62,224,47,22,355,1
2021-08-01,2021,8,August,Chennai,157.62,29.44,6.73,9.6,234.22,5.3,653.24,4537776,48,187,31,17,283,1
2021-09-01,2021,9,September,Chennai,192.86,29.83,7.54,29.98,53.79,8.38,751.59,3814692,39,157,27,13,236,1
2021-10-01,2021,10,October,Chennai,396.82,26.11,7.57,18.25,872.92,8.21,1038.33,3751298,100,365,66,37,568,1
2021-11-01,2021,11,November,Chennai,322.93,31.48,7.92,41.25,526.63,7.63,957.08,4354418,99,354,52,29,534,1
2021-12-01,2021,12,December,Chennai,218.68,26.9,8.22,34.5,42.21,5.34,222.18,1008153,51,180,38,14,283,1
2022-01-01,2022,1,January,Chennai,69.65,31.73,7.49,22.04,201.74,4.67,228.78,3461293,53,191,34,17,295,1
2022-02-01,2022,2,February,Chennai,78.63,32.51,7.66,14.32,45.5,7.63,747.45,2432247,49,193,31,11,284,1
2022-03-01,2022,3,March,Chennai,58.83,35.15,7.26,21.21,384.46,4.33,245.86,2349396,74,269,47,20,410,1
2022-04-01,2022,4,April,Chennai,15.31,25.8,6.49,4.65,69.41,7.2,381.88,1805794,35,150,18,10,213,1
2022-05-01,2022,5,May,Chennai,23.46,24.57,6.59,7.69,88.51,4.44,320.64,2745131,26,107,28,11,172,1
2022-06-01,2022,6,June,Chennai,118.59,25.29,7.31,22.76,332.58,4.78,577.29,3256944,54,196,34,19,303,1
2022-07-01,2022,7,July,Chennai,102.14,26.93,7.05,16.42,401.87,5.84,662.53,2578007,56,210,41,22,329,1
2022-08-01,2022,8,August,Chennai,169.95,24.43,8.19,12.35,258.16,4.52,937.41,3262779,50,191,35,19,295,1
2022-09-01,2022,9,September,Chennai,119.3,25.68,8.25,19.82,441.42,7.95,698.44,4721038,72,253,45,19,389,1
2022-10-01,2022,10,October,Chennai,291.11,29.3,6.98,40.66,546.8,5.22,698.25,1661157,96,356,57,31,540,1
2022-11-01,2022,11,November,Chennai,188.21,27.44,6.57,9.86,256.59,4.87,1096.77,1168406,57,206,34,17,314,1
2022-12-01,2022,12,December,Chennai,399.31,36.55,7.52,41.43,4.77,8.88,690.75,1530117,69,242,44,18,373,1
2023-01-01,2023,1,January,Chennai,29.6,34.77,6.63,8.77,212.72,6.54,442.41,1354016,49,175,36,18,278,1
2023-02-01,2023,2,February,Chennai,43.68,31.46,6.32,9.08,67.21,4.32,1189.96,878892,34,119,24,8,185,1
2023-03-01,2023,3,March,Chennai,63.22,32.34,7.28,10.88,174.43,8.65,1030.62,1286667,44,177,36,11,268,1
2023-04-01,2023,4,April,Chennai,24.35,29.31,8.33,18.32,24.05,7.91,1027.94,2655748,40,142,24,12,218,1
2023-05-01,2023,5,May,Chennai,67.02,33.31,7.4,9.61,438.6,5.96,1016.6,4330375,61,241,41,18,361,1
2023-06-01,2023,6,June,Chennai,169.71,31.04,6.73,29.37,249.53,6.72,1106.47,2127781,58,210,44,20,332,1
2023-07-01,2023,7,July,Chennai,175.28,32.68,7.43,29.19,512.59,4.76,511.72,2399492,89,340,49,29,507,1
2023-08-01,2023,8,August,Chennai,165.69,30.92,7.94,4.51,348.71,5.89,657.0,2399443,65,234,37,20,356,1
2023-09-01,2023,9,September,Chennai,107.51,34.11,7.86,21.3,451.07,6.71,451.8,3192755,72,259,46,25,402,1
2023-10-01,2023,10,October,Chennai,250.21,30.47,8.38,8.42,527.61,6.53,811.45,2785166,90,326,45,24,485,1
2023-11-01,2023,11,November,Chennai,347.52,24.32,7.7,35.12,336.99,4.34,277.32,3641069,88,318,48,21,475,1
2023-12-01,2023,12,December,Chennai,178.31,37.79,8.13,7.19,828.76,8.35,718.84,2529454,103,380,62,30,575,1
2024-01-01,2024,1,January,Chennai,66.2,24.06,6.97,10.56,268.7,8.6,546.35,2081530,47,174,37,15,273,1
2024-02-01,2024,2,February,Chennai,73.89,27.48,7.53,4.97,16.94,5.56,980.5,1545482,34,136,21,6,197,1
2024-03-01,2024,3,March,Chennai,22.46,37.45,6.54,10.95,42.67,8.98,702.2,3378604,32,138,28,10,208,1
2024-04-01,2024,4,April,Chennai,34.46,30.56,7.64,10.07,418.28,6.94,494.04,1203662,63,247,34,17,361,1
2024-05-01,2024,5,May,Chennai,44.79,34.71,6.44,9.02,37.75,7.77,472.3,4563186,41,143,26,14,224,1
2024-06-01,2024,6,June,Chennai,98.74,34.02,7.72,2.15,144.28,5.16,871.89,1270044,45,171,27,12,255,1
2024-07-01,2024,7,July,Chennai,186.5,31.79,7.86,26.43,642.67,7.02,1006.85,3502819,109,401,56,27,593,1
2024-08-01,2024,8,August,Chennai,81.56,25.2,6.68,2.13,117.93,6.92,621.42,901921,35,141,30,9,215,1
2024-09-01,2024,9,September,Chennai,179.01,29.08,6.28,27.22,224.37,7.87,562.76,3766402,68,249,40,16,373,1
2024-10-01,2024,10,October,Chennai,367.12,30.82,8.26,36.35,382.69,4.11,468.68,3156807,95,338,54,29,516,1
2024-11-01,2024,11,November,Chennai,311.26,29.9,6.5,40.7,622.1,7.42,1022.58,2066847,90,323,60,30,503,1
2024-12-01,2024,12,December,Chennai,288.54,33.12,8.11,10.72,9.9,4.68,1100.02,4121509,40,151,32,14,237,1
2018-01-01,2018,1,January,Tiruppur,22.28,36.8,7.16,10.2,259.46,4.23,366.28,3837920,45,175,38,17,275,1
2018-02-01,2018,2,February,Tiruppur,37.25,28.04,7.02,18.26,148.56,6.83,676.05,4631479,47,187,25,12,271,1
2018-03-01,2018,3,March,Tiruppur,12.18,27.67,7.57,2.23,248.18,6.98,534.24,3221864,34,119,32,14,199,1
2018-04-01,2018,4,April,Tiruppur,58.19,30.09,6.77,20.66,399.71,7.47,472.15,2161793,59,217,46,20,342,1
2018-05-01,2018,5,May,Tiruppur,77.35,35.06,7.79,13.51,43.35,8.79,958.39,1691902,42,151,27,14,234,1
2018-06-01,2018,6,June,Tiruppur,197.67,36.65,7.69,22.93,33.54,7.35,244.17,2102575,54,214,31,17,316,1
2018-07-01,2018,7,July,Tiruppur,189.86,24.48,7.8,10.58,600.86,8.86,1144.27,4468222,91,320,44,24,479,1
2018-08-01,2018,8,August,Tiruppur,179.47,24.52,7.57,8.48,78.37,4.38,896.29,634055,38,144,27,15,224,1
2018-09-01,2018,9,September,Tiruppur,176.48,31.54,7.72,24.32,338.11,6.13,1076.67,4637270,65,256,48,25,394,1
2018-10-01,2018,10,October,Tiruppur,196.37,29.38,8.34,4.83,8.54,4.26,288.54,2593373,36,141,26,11,214,1
2018-11-01,2018,11,November,Tiruppur,396.02,34.76,7.16,20.0,663.82,5.19,310.47,1049239,95,349,59,29,532,1
2018-12-01,2018,12,December,Tiruppur,219.32,36.74,6.3,6.53,352.47,4.62,1156.42,3350171,67,247,43,19,376,1
2019-01-01,2019,1,January,Tiruppur,73.26,37.85,7.91,2.56,200.79,8.19,430.57,2924050,51,188,27,12,278,1
2019-02-01,2019,2,February,Tiruppur,25.43,26.61,7.99,9.4,28.92,8.85,1083.79,576898,24,112,27,7,170,1
2019-03-01,2019,3,March,Tiruppur,46.07,30.88,8.49,22.54,231.69,7.11,947.87,2175843,52,192,38,16,298,1
2019-04-01,2019,4,April,Tiruppur,29.11,30.67,6.3,21.45,17.71,5.65,1131.59,4097706,35,149,26,10,220,1
2019-05-01,2019,5,May,Tiruppur,60.64,30.94,6.39,6.28,341.63,4.38,1051.21,4820295,69,269,33,15,386,1
2019-06-01,2019,6,June,Tiruppur,148.56,33.27,7.45,28.27,477.04,6.61,1068.16,4676224,77,281,54,26,438,1
2019-07-01,2019,7,July,Tiruppur,163.7,33.52,7.62,24.78,103.09,8.4,1071.84,1209662,60,220,32,18,330,1
2019-08-01,2019,8,August,Tiruppur,189.04,24.02,7.48,24.91,168.15,4.97,284.1,1623994,54,196,30,17,297,1
2019-09-01,2019,9,September,Tiruppur,81.09,35.46,6.5,10.14,11.98,6.16,1040.12,2164221,36,129,23,11,199,1
2019-10-01,2019,10,October,Tiruppur,166.96,28.21,7.83,4.71,523.95,5.73,820.92,4022554,88,322,42,21,473,1
2019-11-01,2019,11,November,Tiruppur,182.52,34.62,6.26,2.76,291.25,6.44,970.41,4921590,64,225,34,15,338,1
2019-12-01,2019,12,December,Tiruppur,175.55,35.96,7.41,37.48,268.54,8.2,972.82,1420597,62,233,46,22,363,1
2020-01-01,2020,1,January,Tiruppur,61.19,36.73,8.17,24.15,380.05,6.21,511.95,2347865,88,309,40,19,456,1
2020-02-01,2020,2,February,Tiruppur,55.62,29.16,8.19,12.36,484.1,4.93,1068.62,2942266,74,265,39,22,400,1
2020-03-01,2020,3,March,Tiruppur,19.19,24.46,8.32,15.8,398.27,6.41,317.31,1297968,60,213,41,21,335,1
2020-04-01,2020,4,April,Tiruppur,25.79,26.25,7.7,8.82,295.13,6.17,1184.35,1278513,48,181,33,15,277,1
2020-05-01,2020,5,May,Tiruppur,58.65,36.04,7.99,1.95,240.25,4.52,442.05,1936536,58,218,32,17,325,1
2020-06-01,2020,6,June,Tiruppur,105.24,28.84,7.98,30.67,47.07,6.67,1082.53,2549949,38,158,30,17,243,1
2020-07-01,2020,7,July,Tiruppur,95.93,31.95,7.79,26.28,130.1,4.84,304.57,1943717,55,198,36,14,303,1
2020-08-01,2020,8,August,Tiruppur,192.22,37.26,7.64,25.74,397.97,6.42,860.82,1647087,84,315,51,27,477,1
2020-09-01,2020,9,September,Tiruppur,157.23,31.37,7.88,3.85,39.23,5.24,359.54,3462732,32,134,23,12,201,1
2020-10-01,2020,10,October,Tiruppur,195.53,35.06,7.72,23.32,499.83,7.6,428.45,1531519,91,320,54,25,490,1
2020-11-01,2020,11,November,Tiruppur,320.06,25.01,6.27,12.93,416.36,8.34,927.17,2729180,79,279,42,22,422,1
2020-12-01,2020,12,December,Tiruppur,160.03,36.14,7.53,20.75,652.73,6.43,1073.42,1836737,104,373,52,28,557,1
2021-01-01,2021,1,January,Tiruppur,29.87,29.03,7.08,12.18,418.0,5.18,976.0,4852099,71,257,35,22,385,1
2021-02-01,2021,2,February,Tiruppur,38.91,24.97,7.21,3.34,202.51,6.96,779.41,2698611,40,156,32,9,237,1
2021-03-01,2021,3,March,Tiruppur,77.86,27.61,7.71,8.8,386.74,4.65,1169.82,3354190,59,208,38,21,326,1
2021-04-01,2021,4,April,Tiruppur,33.16,30.28,7.74,4.5,224.72,6.94,1148.58,2968152,39,163,33,13,248,1
2021-05-01,2021,5,May,Tiruppur,61.55,33.29,7.29,21.26,402.84,6.93,1068.27,3777419,68,255,38,18,379,1
2021-06-01,2021,6,June,Tiruppur,143.74,37.11,6.29,5.11,293.93,8.67,516.16,3447762,55,211,36,16,318,1
2021-07-01,2021,7,July,Tiruppur,195.81,24.07,8.39,21.24,564.15,6.27,715.6,2928081,79,295,50,28,452,1
2021-08-01,2021,8,August,Tiruppur,116.95,33.87,6.66,22.31,630.44,4.47,872.6,2178687,92,343,49,25,509,1
2021-09-01,2021,9,September,Tiruppur,180.57,37.22,7.77,16.81,401.6,8.34,770.61,3027576,73,255,42,26,396,1
2021-10-01,2021,10,October,Tiruppur,314.72,29.51,7.7,6.4,592.06,9.0,248.21,3127144,98,358,53,27,536,1
2021-11-01,2021,11,November,Tiruppur,291.75,34.34,8.22,19.26,294.33,7.34,1007.85,2932593,78,291,48,19,436,1
2021-12-01,2021,12,December,Tiruppur,180.05,31.62,6.21,15.82,329.82,5.98,895.47,3860160,55,194,40,18,307,1
2022-01-01,2022,1,January,Tiruppur,51.09,26.36,7.68,19.22,250.22,6.71,1151.48,3361509,65,252,37,16,370,1
2022-02-01,2022,2,February,Tiruppur,20.43,31.37,6.77,12.44,197.18,6.75,946.88,3279499,58,223,32,13,326,1
2022-03-01,2022,3,March,Tiruppur,10.53,33.06,8.27,6.84,463.52,4.3,1134.44,758517,67,262,38,21,388,1
2022-04-01,2022,4,April,Tiruppur,29.94,28.3,8.05,13.94,155.65,7.05,916.15,1198956,44,183,34,16,277,1
2022-05-01,2022,5,May,Tiruppur,57.68,26.54,7.41,18.02,53.44,6.84,456.56,655683,36,132,26,9,203,1
2022-06-01,2022,6,June,Tiruppur,124.82,31.37,6.46,1.38,414.69,6.58,793.54,3829049,61,236,43,16,356,1
2022-07-01,2022,7,July,Tiruppur,180.78,36.6,7.01,8.69,507.34,5.37,1022.61,4521080,67,243,42,27,379,1
2022-08-01,2022,8,August,Tiruppur,150.39,26.35,7.89,28.22,140.88,4.48,223.64,4900072,58,227,37,14,336,1
2022-09-01,2022,9,September,Tiruppur,112.94,32.36,7.75,15.11,289.76,7.62,215.82,1993293,57,204,41,21,323,1
2022-10-01,2022,10,October,Tiruppur,343.16,27.71,7.68,27.54,361.07,5.83,543.56,4810796,74,286,46,24,430,1
2022-11-01,2022,11,November,Tiruppur,208.43,31.56,8.22,29.92,479.66,5.62,533.0,1280641,82,294,50,26,452,1
2022-12-01,2022,12,December,Tiruppur,172.19,37.46,7.66,34.41,153.43,6.05,622.69,1805487,60,217,37,18,332,1
2023-01-01,2023,1,January,Tiruppur,74.9,27.28,7.12,4.66,496.24,8.64,739.96,1515416,67,239,41,19,366,1
2023-02-01,2023,2,February,Tiruppur,65.15,36.11,7.6,13.16,79.65,4.32,317.65,3913654,35,130,27,11,203,1
2023-03-01,2023,3,March,Tiruppur,75.59,31.75,6.9,10.53,223.6,7.0,715.68,4235466,56,200,31,14,301,1
2023-04-01,2023,4,April,Tiruppur,45.08,29.56,7.44,16.07,337.15,6.66,921.42,3304802,62,230,40,21,353,1
2023-05-01,2023,5,May,Tiruppur,38.21,26.43,7.8,9.31,487.81,7.2,1022.48,4102684,71,261,36,22,390,1
2023-06-01,2023,6,June,Tiruppur,187.79,35.61,6.93,31.03,536.38,7.33,321.76,2309377,100,353,51,26,530,1
2023-07-01,2023,7,July,Tiruppur,113.33,35.92,6.2,1.85,391.66,5.82,586.46,2115777,58,232,44,17,351,1
2023-08-01,2023,8,August,Tiruppur,86.93,33.73,8.46,8.76,92.46,4.61,503.28,637478,47,164,26,13,250,1
2023-09-01,2023,9,September,Tiruppur,199.6,35.4,7.62,10.86,405.53,6.64,626.08,2654174,77,271,44,21,413,1
2023-10-01,2023,10,October,Tiruppur,253.53,35.59,7.89,35.03,9.93,6.08,681.34,704366,56,221,37,20,334,1
2023-11-01,2023,11,November,Tiruppur,304.74,28.53,8.12,28.99,178.97,4.32,242.63,1852144,62,227,38,19,346,1
2023-12-01,2023,12,December,Tiruppur,216.5,26.09,6.49,39.15,219.13,7.26,1010.69,3936252,64,233,40,19,356,1
2024-01-01,2024,1,January,Tiruppur,72.45,37.37,8.01,8.57,344.07,6.19,454.67,4914473,74,266,37,19,396,1
2024-02-01,2024,2,February,Tiruppur,54.6,33.23,8.26,16.28,306.97,4.33,718.41,1465188,58,225,36,19,338,1
2024-03-01,2024,3,March,Tiruppur,12.66,34.45,7.72,20.25,52.68,4.18,708.58,4264455,46,164,33,13,256,1
2024-04-01,2024,4,April,Tiruppur,64.23,33.26,6.63,5.18,49.2,7.3,964.37,2513321,37,145,26,8,216,1
2024-05-01,2024,5,May,Tiruppur,78.32,33.34,6.22,7.13,130.36,4.35,1159.83,4518365,49,191,26,13,279,1
2024-06-01,2024,6,June,Tiruppur,136.92,25.6,7.32,30.01,338.5,7.08,356.64,3793705,67,251,43,18,379,1
2024-07-01,2024,7,July,Tiruppur,124.66,30.05,7.21,20.42,613.0,5.2,321.5,1379903,82,310,50,26,468,1
2024-08-01,2024,8,August,Tiruppur,160.57,28.44,8.22,9.36,353.61,7.18,421.06,1366183,73,261,39,19,392,1
2024-09-01,2024,9,September,Tiruppur,86.46,28.48,7.93,9.7,350.71,7.64,307.94,817875,72,266,34,21,393,1
2024-10-01,2024,10,October,Tiruppur,360.18,34.26,7.45,27.3,457.52,5.49,765.02,529725,109,405,51,30,595,1
2024-11-01,2024,11,November,Tiruppur,190.21,31.81,8.07,33.84,793.31,5.39,393.95,4409439,127,468,67,35,697,1
2024-12-01,2024,12,December,Tiruppur,333.27,32.62,6.63,17.15,705.41,6.77,205.23,1016409,82,300,62,29,473,1
2018-01-01,2018,1,January,Madurai,63.11,33.5,7.94,21.21,235.16,6.51,324.71,3121038,53,194,38,20,305,1
2018-02-01,2018,2,February,Madurai,51.51,29.48,7.15,17.69,1.61,7.1,555.49,4601036,32,118,22,12,184,1
2018-03-01,2018,3,March,Madurai,54.96,24.91,7.53,14.48,280.33,7.02,876.47,1794929,59,233,31,13,336,1
2018-04-01,2018,4,April,Madurai,54.55,26.09,7.8,18.9,490.98,5.05,1025.13,3787058,68,267,44,19,398,1
2018-05-01,2018,5,May,Madurai,40.38,25.24,6.71,15.36,367.83,8.99,1133.11,4084197,70,271,37,21,399,1
2018-06-01,2018,6,June,Madurai,180.78,29.37,7.52,19.64,119.91,5.81,534.51,3962092,59,235,32,16,342,1
2018-07-01,2018,7,July,Madurai,163.72,37.01,8.0,3.05,554.27,5.13,576.91,3915871,66,251,51,25,393,1
2018-08-01,2018,8,August,Madurai,164.72,32.84,6.31,29.5,591.1,7.9,207.03,3247176,89,322,57,31,499,1
2018-09-01,2018,9,September,Madurai,190.71,30.61,6.23,10.12,28.99,4.18,475.72,1452246,43,159,27,15,244,1
2018-10-01,2018,10,October,Madurai,262.43,34.87,6.35,22.86,30.25,4.31,1106.44,2963160,43,150,37,18,248,1
2018-11-01,2018,11,November,Madurai,171.61,27.31,7.88,25.49,115.19,8.41,593.45,4041483,61,237,32,14,344,1
2018-12-01,2018,12,December,Madurai,394.89,26.03,7.87,10.06,304.44,5.54,1147.04,2902187,66,231,37,21,355,1
2019-01-01,2019,1,January,Madurai,25.77,27.51,8.16,14.47,261.7,4.57,1060.14,1178841,52,203,28,13,296,1
2019-02-01,2019,2,February,Madurai,52.9,27.17,8.15,11.29,70.48,7.32,416.09,3329455,41,149,25,11,226,1
2019-03-01,2019,3,March,Madurai,14.36,31.18,8.05,12.02,25.98,7.93,401.36,3971750,38,136,22,12,208,1
2019-04-01,2019,4,April,Madurai,11.26,25.77,7.72,4.88,127.75,8.73,760.18,3633211,44,155,27,13,239,1
2019-05-01,2019,5,May,Madurai,34.06,27.95,7.1,20.16,185.97,6.26,597.38,1450162,52,205,36,15,308,1
2019-06-01,2019,6,June,Madurai,175.14,32.09,7.66,26.19,257.38,8.58,733.03,1948763,74,260,41,19,394,1
2019-07-01,2019,7,July,Madurai,123.57,36.56,6.59,17.12,388.77,4.17,563.69,1416383,79,280,41,24,424,1
2019-08-01,2019,8,August,Madurai,153.84,25.17,8.23,26.37,328.38,8.84,617.76,2974653,66,258,41,18,383,1
2019-09-01,2019,9,September,Madurai,131.3,26.27,6.23,18.76,342.81,7.6,1090.26,1019165,74,286,42,19,421,1
